#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Roles|value
#T_SP=webanno.custom.Types|value
#T_RL=webanno.custom.TypeArrow|value|BT_webanno.custom.Types


#Text=The intake of licorice roots decreases the frequency of vasomotor hot flashes in menopausal women.
1-1	0-3	The	Subject[1]	_	_	_	
1-2	4-10	intake	Subject[1]	Relation[3]	_	_	
1-3	11-13	of	Subject[1]	Relation[3]	_	_	
1-4	14-22	licorice	Subject[1]	Class[4]	Range	1-2[3_4]	
1-5	23-28	roots	Subject[1]	Class[4]	_	_	
1-6	29-38	decreases	Restriction[2]	Relation[5]	_	_	
1-7	39-42	the	Restriction[2]	Relation[5]	_	_	
1-8	43-52	frequency	Restriction[2]	Relation[5]	_	_	
1-9	53-55	of	Restriction[2]	Relation[5]	_	_	
1-10	56-65	vasomotor	Restriction[2]	Class[6]	Range|Domain	1-6[5_6]|1-13[0_6]	
1-11	66-69	hot	Restriction[2]	Class[6]	_	_	
1-12	70-77	flashes	Restriction[2]	Class[6]	_	_	
1-13	78-80	in	Restriction[2]	Relation	_	_	
1-14	81-91	menopausal	Restriction[2]	Class[7]	Range	1-13[0_7]	
1-15	92-97	women	Restriction[2]	Class[7]	_	_	
1-16	97-98	.	_	_	_	_	
